회사명,직무,링크,자격요건,우대사항
교보문고,데이터분석가,https://www.wanted.co.kr/wd/84860,"• 웹/앱 서비스를 통한 매출, 상품, 고객데이터 분석을 기반으로 서비스 개선 인사이트 도출 및 개선 적용 경험이 있는 분 
• 데이터 처리를 위한 언어(SQL, Python), GA360, BI 도구(Tableau, Google Data Studio)에 대한 기본 지식을 보유한 분
• 사업 전반과 전사적인 조직목표의 이해, 소프트스킬을 기반으로 엔지니어, 현업 담당자 및 영업 담당자 간의 커뮤니케이션을 할 수 있는 분
• 데이터 산업과 기술에 대한 열정으로 자기주도적으로 업무를 수행하는 분","• 관련 직무 경력 5년 이상
• 데이터 분석 솔루션이나 플랫폼 구축 프로젝트 참여 경험이 있는 분
• 온오프라인 물류, 유통 데이터 기반 분석 프로젝트 경험이 있는 분"
교보문고,데이터 엔지니어,https://www.wanted.co.kr/wd/84863,"• 데이터 솔루션이나 플랫폼 구축 프로젝트 관련 수행 경험이 있는 분
• ETL 프로세스, 클라우드 기반 Data Pipeline, Data Lake에 대한 지식과 활용능력을 보유한 분
• 데이터 처리와 관련하여 Python, SQL을 능숙하게 활용 가능한 분
• 신규 데이터 관련 기술에 대한 호기심을 바탕으로 프로토타이핑을 즐기는 분
• 데이터 분석가, 서비스 기획가 및 데이터 사이언티스트 간의 명확한 커뮤니케이션이 가능한 분","• 관련 직무 경력 5년 이상
• 데이터 분석 솔루션이나 플랫폼 구축 프로젝트 리딩 경험이 있는 분
• 실시간 데이터 분석 파이프라인 구축 관련 경험이 있는 분"
퀀팃,금융 데이터 모델 연구원/개발자,https://www.wanted.co.kr/wd/129234,"• 신입/경력
• 컴퓨터소프트웨어, 정보시스템학과, 상경계열, 수학 전공자
• Python 기반 데이터 처리 경험 1년 이상
• Linux 환경에서 개발 경험 1년 이상
• 데이터 플랫폼 개발자 / 데이터 엔지니어 / 금융 데이터 사이언티스트가 되고 싶은 열정이 풍부한 분
• 데이터 분석을 통한 퀀트 기반 데이터 생성, 분석, visualization, 트레이딩 방법론을 알고 싶으신 분","• 프로그래밍/개발
＞ 본인이 직접 구현한/삭제한/리뷰한 코드가 만줄이상이신 분
＞ Github을 이용한 협업 및 Pull Request 코드리뷰 경험
＞ 개발 프로세스를 이해하고 협업 능력이 뛰어나신 분


• 커뮤니케이션
＞ 의사결정 과정에서 논리가 탄탄한 분 
＞ 다양한 부서와의 커뮤니케이션이 원할하신 분


• 교육과정
＞ 대학 입시에서 논술전형으로 합격하신분(장원급제)
＞ 프로그래밍 실무과목 성적이 우수하신 분
＞ 학점 기준 없음. 전공 필수 고학점은 우대. 학점이 낮아도 러닝커브가 좋은 분은 우대
＞ 수학전공과목 성적이 우수하신 분


• 데이터
＞ 데이터분석 경험이 있으신분, 데이터 visualization 경험이 있으신 분
＞ 통계학적 지식이 있으신 분
＞ 경제 및 금융에 대한 기본지식이 있으신 분


• 기타
＞ 다양한 현상에 대한 추론화 및 주어진 문제에 대한 해결 능력
＞ 새롭운 사실을 잘 받아들이는 분"
데이터노우즈,AI/ML 리서쳐 및 엔지니어,https://www.wanted.co.kr/wd/124238,"주로 사용되는 언어와 프레임워크는 다음과 같습니다. 
• Python (Pandas, Numpy, Sklearn 잘 다루면 좋습니다.)
• Pytorch, Tensorflow 딥러닝 프레임워크 
• MySQL, Git","• 부동산, 주식, 연금을 본인이 하는 일에 접목하여 난제를 풀 수 있는 호기심과 열정 (우대조건)
• 머신러닝 모델을 논문 구현부터 실제 서비스까지 적용한 경험이 있는 분
• 머신러닝 관련 논문을 읽고 다양한 수학적인 개념을 이해하고 적용할 수 있는 분
• 머신러닝 알고리즘 개발 경험을 하면서 Ops에 관심이 생기신 분
• SQL, Git, Docker, Python에 대해 기본적인 이해가 있으신 분
• 스스로 문제를 정의하고 해결하기 위한 모델링이 가능하신 분
• 2년 이상 딥러닝 분야 연구 경력을 가지신 분, 또는 관련 분야 논문 실적이 있으신 분"
데이터노우즈,AI/ML 엔지니어,https://www.wanted.co.kr/wd/130824,"주로 사용되는 언어와 프레임워크는 다음과 같습니다. 
• Python (Pandas, Numpy, Sklearn 잘 다루면 좋습니다.)
• Pytorch, Tensorflow 딥러닝 프레임워크 
• MySQL, Git","• 부동산, 주식, 연금을 본인이 하는 일에 접목하여 난제를 풀 수 있는 호기심과 열정 (우대조건)
• 머신러닝 모델을 논문 구현부터 실제 서비스까지 적용한 경험이 있는 분
• 머신러닝 관련 논문을 읽고 다양한 수학적인 개념을 이해하고 적용할 수 있는 분
• 머신러닝 알고리즘 개발 경험을 하면서 Ops에 관심이 생기신 분
• SQL, Git, Docker, Python에 대해 기본적인 이해가 있으신 분
• 스스로 문제를 정의하고 해결하기 위한 모델링이 가능하신 분
• 2년 이상 딥러닝 분야 연구 경력을 가지신 분, 또는 관련 분야 논문 실적이 있으신 분"
데이터노우즈,BI Tableau 전문가,https://www.wanted.co.kr/wd/108579,"• 다양한 Tableau 프로젝트 경험 
• Tableau 시각화 고급기술 구현가능
• 고급 SQL 구현가능
• Python 프로그래밍
• 재테크(부동산, 금융)투자에 대한 많은 관심과 이해","• Datamart 구축 경험
• 빅데이터환경에서 개발경험(bigquery, redshift, Azure 등)
• 웹 임베디드 개발 경험"
뽀득,데이터센터팀 개발자,https://www.wanted.co.kr/wd/144457,"- 스타트업의 많은 권한과 책임의 무게를 즐길 수 있는 분
- 책임감을 가지고 주도적으로 업무를 진행하고 완수할 수 있는 분
- 최선의 결과물을 위해 본인의 의견을 말하며, 설득을 주저하지 않는 분
- 논리적인 사고를 바탕으로 소통하며, 합리적인 의사결정이 가능한 분

(기술 스택)
다음과 같은 기술 스택을 보유하신 분
 - Front-end: React/React Native(필수)
 - Back-end: Django(필수), PHP(선택)","- 개발 경력이 4년 이상이거나, 혹은 그에 준하는 역량을 갖고 계신 분
- 시스템/서비스를 개발하고 1년 이상 유지관리해보신 분
- AWS 환경에서 개발한 경험이 있는 분
- 비즈니스 임팩트 관점으로 업무 우선순위를 판단할 수 있는 분
- 오퍼레이션(생산 or 물류) 기반 시스템 개발 경험이 있는 분
- 경험과 관습에 의존하지 않는 분"
뽀득,데이터센터팀 시스템 기획,https://www.wanted.co.kr/wd/144287,"• 개발자와 유기적인 커뮤니케이션이 가능한 분
• 비즈니스 임팩트 관점으로 업무 우선순위를 판단할 수 있는 분
• 스타트업의 많은 권한과 책임의 무게를 즐길 수 있는 분
• 최선의 결과물을 위해 본인의 의견을 말하며, 설득을 주저하지 않는 분","• 기획 경력이 4년 이상이거나, 이에 준하는 역량을 갖고 계신 분
• 오퍼레이션(생산 or 물류) 기반 시스템 도입 및 기획을 경험하신 분
• 책임감을 가지고 주도적으로 업무를 진행하고 완수할 수 있는 분
• 논리적인 사고를 바탕으로 소통하며, 합리적인 의사결정이 가능한 분"
롯데정보통신,"Data Analytics팀 데이터 상품 기획 및 영업(거래,중개)",https://www.wanted.co.kr/wd/126570,"• 학사이상, 관련경력 3년 이상 필수",• 데이터 비즈니스 유경험자
컬리,[컬리] 데이터농장팀 데이터분석가(Data Analyst),https://www.wanted.co.kr/wd/49091,"• 유관 업무 경력 2년 이상. 단, 분석가로서의 기본 스킬이 충분하다면 조금 부족해도 무관
• SQL에 대한 경험. 논리적 사고를 기반으로 하여 가독성 높게 쿼리를 작성하는 분
• 데이터 처리를 위해 Python, R 중 하나 이상의 언어를 경험한 분
• 다른 부서와 원활하게 소통하며 논리적이고 명료하게 문서를 작성하는 분","• Git을 통한 코드 관리에 익숙하고 Airflow를 활용하여 Data Warehouse 구축 경험이 있으신 분
• 커머스, 물류 또는 로그 분석 프로젝트의 경험이 있으신 분
• 커머스, 물류 분야 Data Warehouse 구축. Tableau와 같은 BI 툴 사용한 시각화 경험이 있으신 분 
• 컴퓨터 공학, 통계학, 산업공학 등 관련 학위 보유하신 분
• 여러 분석가가 함께 모여 업무를 투명하게 공유하고 진솔한 피드백을 주고받으며 
  다같이 학습하고 성장하기를 원하시는 분"
컬리,[컬리] 데이터플랫폼팀 데이터분석가(Data Analyst),https://www.wanted.co.kr/wd/135935,"- 데이터 분석 업무 경력이 1년 이상이신 분
- Python 및 SQL 활용 역량을 보유하신 분 
- 기본적인 통계 지식을 잘 이해하고 계신 분","- 프로덕트 데이터 분석 실무 경험을 보유하신 분 
- 통계학 관련 학위를 보유하신 분"
컬리,[컬리] 데이터 거버넌스,https://www.wanted.co.kr/wd/138904,"• 유관 경력 3년 이상이신 분
• SQL을 활용한 분석 경험을 보유하신 분
• Python, R, Tableau, Power BI, Redash 중 1가지 이상의 분석 프로그램을 활용하신 분
• 전산, 데이터, 경영, 통계, 산업공학, 교육학, 심리학 또는 관련 분야의 학사 이상의 학위를 보유하신 분","• 100명 이상의 인원을 대상으로 데이터 교육 운영, 관리, 기획한 경험을 1년 이상 보유하신 분
• IT 기업, 혹은 스타트업에서 데이터 교육 및 데이터 에반젤리스트, 가이던스를 경험하신 분
• 대시보드, 모델링, 분석 리포팅 등 데이터 프로덕트의 설계, 운영, 관리 중 1개 이상을 경험하신 분
• 대시보드 설계 프로젝트를 경험하신 분"
컬리,[컬리] 시니어 데이터엔지니어,https://www.wanted.co.kr/wd/117443,"• 3년 이상 클라우드 기반 데이터플랫폼 운영 경험이 있는 분
• AWS/GCP 등 클라우드 인프라 운영 경험이 있는 분
• 하둡, 카프카 등 분산 데이터 도구와 S3, Athena, Redshift 등 클라우드 데이터 서비스 
   운영 경험이 있는 분
• 데이터 파이프라인을 안정적으로 운영하고 개선하는 데 필요한 실무 경험을 갖추고 
   적절한 의사 결정을 내리며 팀원들을 이끌 수 있는 분
• 데이터 유관 부서와 원만하게 소통하며 데이터 비전문가의 니즈를 해석하고 
   최선의 운영 방향성을 도출하실 수 있는 분","• Spark Streaming, Flink 등 실시간 데이터 도구 운영 경험이 있으신 분
• 데이터 관련 부서 리드 경험이 있으신 분"
컬리,[컬리] Data Scientist(데이터사이언티스트),https://www.wanted.co.kr/wd/51283,"• 물류 및 이커머스 도메인에 대한 관심이 많고, ML/DL 모델링에 기반한 프로젝트 실무를 경험하신 분
• 물적/인적 자원의 효율적인 배분 전략 및 최적화 기법, 혹은 마케팅 효율화/타게팅, 개인화 추천/랭킹 모델 등에 관심이 있으신 분
• 중급 이상의 Python, SQL 프로그래밍 역량과 ML 알고리즘과 성능지표에 대한 이해를 갖추신 분","• 결과와 과정에 대한 논리적이고 명확한 커뮤니케이션 능력과 데이터 시각화의 기본 개념을 갖추신 분
• 대용량 데이터 처리/분석를 위한 분산처리 프레임워크에 대한 이해도를 갖추신 분
• Git을 통한 코드 관리에 익숙하고 Tableau 대시보드 사용 경험이 있으신 분"
브레인커머스,[잡플래닛] 데이터 분석가 (3년 이상),https://www.wanted.co.kr/wd/106446,"• 관련 경력 3년 이상 데이터 분석 경험이 있는 분
• SQL을 사용해 직접 데이터를 추출하고 정제할 수 있는 분
• Excel, Python, R 를 사용해서 추출된 데이터를 자유롭게 가공하고, 시각화 할 수 있는 분 
• 서비스 핵심 지표를 설정하고, 지표 성장을 위해 다양한 가설을 세우고 실험하여 직접 서비스를 개선해보신 분
• 멀티 디바이스(모바일 / 앱)의 데이터를 통합하여 분석해본 경험이 있는 분
• 퍼널 분석, 리텐션 분석, 코호트 분석 등 프로덕트 데이터 분석 방법에 대한 이해도가 높으신 분
• GA, Amplitude 등을 이용하여 데이터 로그 설계 및 관리 경험이 있는 분
• 기초 통계학 지식이 있는 분","• 가설 검증을 위한 A/B 테스트를 설계하고 결과를 분석하여 프로덕트에 적용한 경험이 있으신 분
• 사내 구성원들의 데이터 리터러시 함양에 영향을 주었던 경험이 있는 분"
